seriesId,frequencyCode,spanishTitle,englishTitle,firstObservation,lastObservation,updatedAt,createdAt,frequency,search_text
F089.ECB.10Y20.CONSFCH1.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 10% y menos de 20%","Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 10% and less than 20%",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 10% y menos de 20% Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 10% and less than 20%"
F089.ECB.20Y30.CONSFCH1.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 20% y menos de 30%","Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 20% and less than 30%",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 20% y menos de 30% Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 20% and less than 30%"
F089.ECB.30Y40.CONSFCH1.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 30% y menos de 40%","Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 30% and less than 40%",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 30% y menos de 40% Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 30% and less than 40%"
F089.ECB.40Y50.CONSFCH1.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 40% y 50%","Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 40% and 50%",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Financiamiento de créditos hipotecarios, Porcentaje de refinanciamiento de crédito hipotecario ya existente, Entre 40% y 50% Households portfolio, Financing of mortgage loans, Percentage of refinancing of existing mortgage loans, Between 40% and 50%"
F089.ECB.AMNIV.COMDNC1.T,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Grandes empresas, Al mismo nivel","Commercial portfolio, Demand for new credits, Large firms, At the same level",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Grandes empresas, Al mismo nivel Commercial portfolio, Demand for new credits, Large firms, At the same level"
F089.ECB.AMNIV.COMDNC2.T,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Pymes, Al mismo nivel","Commercial portfolio, Demand for new credits, SMEs, At the same level",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Pymes, Al mismo nivel Commercial portfolio, Demand for new credits, SMEs, At the same level"
F089.ECB.AMNIV.CONSDNC1.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Consumo, Al mismo nivel","Households portfolio, Demand for new credits, Consumer, At the same level",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Consumo, Al mismo nivel Households portfolio, Demand for new credits, Consumer, At the same level"
F089.ECB.AMNIV.CONSDNC2.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Hipotecarios, Al mismo nivel","Households portfolio, Demand for new credits, Mortgages for housing, At the same level",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Hipotecarios, Al mismo nivel Households portfolio, Demand for new credits, Mortgages for housing, At the same level"
F089.ECB.AMNIV.IMBDNC1.T,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Inmobiliarios, Al mismo nivel","Commercial real estate and construction credits, Demand for new credits, Commercial real estate, At the same level",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Inmobiliarios, Al mismo nivel Commercial real estate and construction credits, Demand for new credits, Commercial real estate, At the same level"
F089.ECB.AMNIV.IMBDNC2.T,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Construcción, Al mismo nivel","Commercial real estate and construction credits, Demand for new credits, Construction, At the same level",01-10-2010,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Construcción, Al mismo nivel Commercial real estate and construction credits, Demand for new credits, Construction, At the same level"
F089.ECB.CCMOD.COMDNC1.T,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Grandes empresas, Con crecimiento moderado","Commercial portfolio, Demand for new credits, Large firms, With moderate growth",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Grandes empresas, Con crecimiento moderado Commercial portfolio, Demand for new credits, Large firms, With moderate growth"
F089.ECB.CCMOD.COMDNC2.T,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Pymes, Con crecimiento moderado","Commercial portfolio, Demand for new credits, SMEs, With moderate growth",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Pymes, Con crecimiento moderado Commercial portfolio, Demand for new credits, SMEs, With moderate growth"
F089.ECB.CCMOD.CONSDNC1.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Consumo, Con crecimiento moderado","Households portfolio, Demand for new credits, Consumer, With moderate growth",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Consumo, Con crecimiento moderado Households portfolio, Demand for new credits, Consumer, With moderate growth"
F089.ECB.CCMOD.CONSDNC2.T,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Hipotecarios, Con crecimiento moderado","Households portfolio, Demand for new credits, Mortgages for housing, With moderate growth",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de personas: créditos de consumo e hipotecarios, Demanda por nuevos créditos, Hipotecarios, Con crecimiento moderado Households portfolio, Demand for new credits, Mortgages for housing, With moderate growth"
F089.ECB.CCMOD.IMBDNC1.T,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Inmobiliarios, Con crecimiento moderado","Commercial real estate and construction credits, Demand for new credits, Commercial real estate, With moderate growth",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Inmobiliarios, Con crecimiento moderado Commercial real estate and construction credits, Demand for new credits, Commercial real estate, With moderate growth"
F089.ECB.CCMOD.IMBDNC2.T,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Construcción, Con crecimiento moderado","Commercial real estate and construction credits, Demand for new credits, Construction, With moderate growth",01-10-2010,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos inmobiliarios y de la construcción, Demanda por nuevos créditos, Construcción, Con crecimiento moderado Commercial real estate and construction credits, Demand for new credits, Construction, With moderate growth"
F089.ECB.IND.COMCC1.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Disminución de las líneas de crédito (en relación con el volumen de ventas), Indicador","Commercial portfolio, Credit conditions, Large firms: Decrease in credit lines (in relation to sales volume), Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Disminución de las líneas de crédito (en relación con el volumen de ventas), Indicador Commercial portfolio, Credit conditions, Large firms: Decrease in credit lines (in relation to sales volume), Indicator"
F089.ECB.IND.COMCC10.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Aumento del premio exigido a los créditos más riesgosos, Indicador","Commercial portfolio, Credit conditions, SMEs: Increase in the premium required for riskier loans, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Aumento del premio exigido a los créditos más riesgosos, Indicador Commercial portfolio, Credit conditions, SMEs: Increase in the premium required for riskier loans, Indicator"
F089.ECB.IND.COMCC2.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Aumento del spread sobre el costo de fondos de su banco, Indicador","Commercial portfolio, Credit conditions, Large firms: Increased spread over your bank's cost of funds, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Aumento del spread sobre el costo de fondos de su banco, Indicador Commercial portfolio, Credit conditions, Large firms: Increased spread over your bank's cost of funds, Indicator"
F089.ECB.IND.COMCC3.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Mayor requerimiento de garantías o imposición de otras condiciones contractuales, Indicador","Commercial portfolio, Credit conditions, Large firms: Increased requirement of guarantees or imposition of other contractual conditions, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Mayor requerimiento de garantías o imposición de otras condiciones contractuales, Indicador Commercial portfolio, Credit conditions, Large firms: Increased requirement of guarantees or imposition of other contractual conditions, Indicator"
F089.ECB.IND.COMCC4.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Disminución en el plazo de los créditos, Indicador","Commercial portfolio, Credit conditions, Large firms: Decrease in the term of credits, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Disminución en el plazo de los créditos, Indicador Commercial portfolio, Credit conditions, Large firms: Decrease in the term of credits, Indicator"
F089.ECB.IND.COMCC5.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Aumento del premio exigido a los créditos más riesgosos, Indicador","Commercial portfolio, Credit conditions, Large firms: Increase in the premium required for riskier loans, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Grandes empresas: Aumento del premio exigido a los créditos más riesgosos, Indicador Commercial portfolio, Credit conditions, Large firms: Increase in the premium required for riskier loans, Indicator"
F089.ECB.IND.COMCC6.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Disminución de las líneas de crédito (en relación con el volumen de ventas), Indicador","Commercial portfolio, Credit conditions, SMEs: Decrease in credit lines (in relation to sales volume), Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Disminución de las líneas de crédito (en relación con el volumen de ventas), Indicador Commercial portfolio, Credit conditions, SMEs: Decrease in credit lines (in relation to sales volume), Indicator"
F089.ECB.IND.COMCC7.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Aumento del spread sobre el costo de fondos de su banco, Indicador","Commercial portfolio, Credit conditions, SMEs: Increased spread over your bank's cost of funds, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Aumento del spread sobre el costo de fondos de su banco, Indicador Commercial portfolio, Credit conditions, SMEs: Increased spread over your bank's cost of funds, Indicator"
F089.ECB.IND.COMCC8.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Mayor requerimiento de garantías o imposición de otras condiciones contractuales, Indicador","Commercial portfolio, Credit conditions, SMEs: Increased requirement of guarantees or imposition of other contractual conditions, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Mayor requerimiento de garantías o imposición de otras condiciones contractuales, Indicador Commercial portfolio, Credit conditions, SMEs: Increased requirement of guarantees or imposition of other contractual conditions, Indicator"
F089.ECB.IND.COMCC9.T,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Disminución en el plazo de los créditos, Indicador","Commercial portfolio, Credit conditions, SMEs: Decrease in the term of credits, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Condiciones crediticias, Pymes: Disminución en el plazo de los créditos, Indicador Commercial portfolio, Credit conditions, SMEs: Decrease in the term of credits, Indicator"
F089.ECB.IND.COMDNC1.T,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Grandes empresas, Indicador","Commercial portfolio, Demand for new credits, Large firms, Indicator",01-01-2003,01-01-2026,15-04-2026,15-04-2026,QUARTERLY,"Banca de empresas: créditos comerciales, Demanda por nuevos créditos, Grandes empresas, Indicador Commercial portfolio, Demand for new credits, Large firms, Indicator"
