survey_period,Periodo,eee_imacec,eee_imacec_nm
2017-01-01,2016-12-01,1,NA
2017-02-01,2017-01-01,1.3,NA
2017-03-01,2017-02-01,-0.5,NA
2017-04-01,2017-03-01,0,NA
2017-05-01,2017-04-01,1,NA
2017-06-01,2017-05-01,1,NA
2017-07-01,2017-06-01,1.5,NA
2017-08-01,2017-07-01,1.7,NA
2017-09-01,2017-08-01,2,NA
2017-10-01,2017-09-01,2,NA
2017-11-01,2017-10-01,3,NA
2017-12-01,2017-11-01,2.3,NA
2018-01-01,2017-12-01,2.6,2.5
2018-02-01,2018-01-01,3,2.9
2018-03-01,2018-02-01,4.2,3.3
2018-04-01,2018-03-01,4,2.9
2018-05-01,2018-04-01,4.4,3.2
2018-06-01,2018-05-01,4.2,4
2018-07-01,2018-06-01,4.6,4.5
2018-08-01,2018-07-01,3.9,4.1
2018-09-01,2018-08-01,3.3,3.8
2018-10-01,2018-09-01,3,3.5
2018-11-01,2018-10-01,3.6,3.9
2018-12-01,2018-11-01,2.7,3.1
2019-01-01,2018-12-01,3,3.3
2019-02-01,2019-01-01,2.8,2.9
2019-03-01,2019-02-01,2.5,3
2019-04-01,2019-03-01,2.2,2.8
2019-05-01,2019-04-01,2.3,2.4
2019-06-01,2019-05-01,2.4,2.4
2019-07-01,2019-06-01,2.4,2.7
2019-08-01,2019-07-01,3,3.2
2019-09-01,2019-08-01,2.9,2.9
2019-10-01,2019-09-01,3.6,3.6
2019-11-01,2019-10-01,-0.4,-0.3
2019-12-01,2019-11-01,-4,-3.8
2020-01-01,2019-12-01,-1,-1.2
2020-02-01,2020-01-01,1,0.6
2020-03-01,2020-02-01,1.5,1.5
2020-04-01,2020-03-01,-2.7,-2.8
2020-05-01,2020-04-01,-8.1,-8.2
2020-06-01,2020-05-01,-15.5,-17
2020-07-01,2020-06-01,-16.1,-17.5
2020-08-01,2020-07-01,-12,-13
2020-09-01,2020-08-01,-8.9,-10
2020-10-01,2020-09-01,-7.1,-8.5
2020-11-01,2020-10-01,0.5,0.1
2020-12-01,2020-11-01,1,0.8
2021-01-01,2020-12-01,-1,-0.8
2021-02-01,2021-01-01,-1,-0.5
2021-03-01,2021-02-01,-1.5,-1.4
2021-04-01,2021-03-01,1.6,1.9
2021-05-01,2021-04-01,9.5,9.1
2021-06-01,2021-05-01,15.2,16
2021-07-01,2021-06-01,16.5,18
2021-08-01,2021-07-01,16.3,17.9
2021-09-01,2021-08-01,16.3,17.9
2021-10-01,2021-09-01,13.3,15
2021-11-01,2021-10-01,12.5,14
2021-12-01,2021-11-01,12.1,13.2
2022-01-01,2021-12-01,10.7,11.5
2022-02-01,2022-01-01,9.3,9.5
2022-03-01,2022-02-01,7.5,8
2022-04-01,2022-03-01,5.1,6
2022-05-01,2022-04-01,6,6.4
2022-06-01,2022-05-01,5.2,6
2022-07-01,2022-06-01,4.3,4.7
2022-08-01,2022-07-01,1.8,2.2
2022-09-01,2022-08-01,-0.7,-0.4
2022-10-01,2022-09-01,-1,-0.8
2022-11-01,2022-10-01,-1.8,-1.5
2022-12-01,2022-11-01,-2,-2.2
2023-01-01,2022-12-01,-2.7,-2.9
2023-02-01,2023-01-01,-1.5,-1.8
2023-03-01,2023-02-01,-0.2,-0.5
2023-04-01,2023-03-01,-1,-1
2023-05-01,2023-04-01,-1,-1.1
2023-06-01,2023-05-01,-1.1,-1.2
2023-07-01,2023-06-01,-1.4,-1.1
2023-08-01,2023-07-01,-0.3,-0.5
2023-09-01,2023-08-01,-0.2,-0.4
2023-10-01,2023-09-01,-0.6,-0.7
2023-11-01,2023-10-01,0.1,0
2023-12-01,2023-11-01,0.6,0.4
2024-01-01,2023-12-01,0.9,0.8
2024-02-01,2024-01-01,0,0.2
2024-03-01,2024-02-01,1.5,1.5
2024-04-01,2024-03-01,2,1.6
2024-05-01,2024-04-01,2.7,2
2024-06-01,2024-05-01,2.8,2.2
2024-07-01,2024-06-01,1.7,1.5
2024-08-01,2024-07-01,1.5,1.2
2024-09-01,2024-08-01,2.2,2.2
2024-10-01,2024-09-01,1.7,2
2024-11-01,2024-10-01,1.8,1.7
2024-12-01,2024-11-01,2,1.8
2025-01-01,2024-12-01,2.7,2.4
2025-02-01,2025-01-01,2.3,2
2025-03-01,2025-02-01,1,1.4
2025-04-01,2025-03-01,2.2,2.4
2025-05-01,2025-04-01,2.1,2
2025-06-01,2025-05-01,3.1,2.9
2025-07-01,2025-06-01,3.3,3
2025-08-01,2025-07-01,2,2.4
2025-09-01,2025-08-01,1.9,2.4
2025-10-01,2025-09-01,2.5,2.7
2025-11-01,2025-10-01,2.3,2.5
2025-12-01,2025-11-01,2.2,2.5
2026-01-01,2025-12-01,1.8,2.3
2026-02-01,2026-01-01,1.9,2.1
2026-03-01,2026-02-01,1.8,1.9
2026-04-01,2026-03-01,0.7,1
2026-05-01,2026-04-01,0.1,1
2026-06-01,2026-05-01,0.2,1
2026-07-01,2026-06-01,1.2,1.1
2026-08-01,2026-07-01,1.1,1
2026-09-01,2026-08-01,0.5,1
